sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,buffer_flow_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_equilibrium_affine,residual_equilibrium_affine
884,2026-05-15T15:10:52.264Z,2026-05-15 15:10:52.264000+00:00,5484.74095,91.41234916666667,69.288,6,64,test,6,7,4.765908241271973,2.273276805877685,7.868211269378662,1.2191734313964844,11.360661506652832,0.10731535577241988,0.8926846442275801,True,True,False,3.4611760648922996,0.5392236917721237,0.020010074277333662,0.06925839014542434,0.089268464422758,0.06925839014542434,5.299364058834422,5.299364058834422,-0.5334558175624498,4.956321801945038,-0.1904135606730657,4.848051000100156,-0.08214275882818356
885,2026-05-15T15:12:01.534Z,2026-05-15 15:12:01.534000+00:00,5485.89545,91.43159083333333,69.27,6,64,test,6,8,4.597744941711426,4.222699165344238,8.329392433166504,8.691819190979004,21.243910789489746,0.40914402612155626,0.5908559738784437,True,True,False,1.9725280222484152,0.29502318162615365,0.01987722132326683,0.03920837606457755,0.05908559738784438,0.03920837606457755,5.055313056161458,5.055313056161458,-0.45756811445003187,4.712270799272074,-0.11452585756064781,4.65502787587904,-0.05728293416761421
886,2026-05-15T15:13:10.841Z,2026-05-15 15:13:10.841000+00:00,5487.050566666667,91.45084277777778,69.307,6,64,test,6,9,3.99621582,8.944395065307617,3.675065755844116,7.164209842681885,19.783670663833618,0.36212743147704757,0.6378725685229524,True,True,False,0.4108791851221436,-0.3862858592627468,0.04521099859218138,0.018576258260113866,0.06378725685229525,0.018576258260113866,4.375103838620849,4.375103838620849,-0.3788880186208492,4.032061581731465,-0.03584576173146514,4.117041525256952,-0.12082570525695191
887,2026-05-15T15:14:20.080Z,2026-05-15 15:14:20.080000+00:00,5488.2045499999995,91.47007583333333,69.239,6,65,test,7,0,4.295050621032715,5.397990703582764,4.966917991638184,9.655948638916016,20.020857334136963,0.48229446310732893,0.5177055368926711,True,True,False,0.9201420054950321,-0.03614514282432217,0.0269618359168806,0.024808717772386506,0.051770553689267106,0.024808717772386506,4.724488726009514,4.724488726009514,-0.429438104976799,4.38144646912013,-0.08639584808741496,4.393374594085905,-0.09832397305318974
888,2026-05-15T15:15:29.510Z,2026-05-15 15:15:29.510000+00:00,5489.361716666666,91.48936194444444,69.43,6,65,test,7,1,4.157212257385254,6.449989795684815,3.967228651046753,2.641309261322021,13.058527708053589,0.20226700286381027,0.7977329971361897,True,True,False,0.6150751825531439,-0.21107179581426574,0.04939293264819519,0.030380367065423793,0.07977329971361899,0.030380367065423793,4.549579415051543,4.549579415051543,-0.39236715766628905,4.206537158162159,-0.04932490077690499,4.255036536521307,-0.09782427913605307
889,2026-05-15T15:16:38.934Z,2026-05-15 15:16:38.934000+00:00,5490.518783333333,91.50864638888888,69.424,6,65,test,7,2,4.377754211425781,8.466106414794922,8.469292640686035,8.565243721,25.50064277648096,0.33588344404007164,0.6641165559599282,True,True,False,1.0003763507963408,0.00016341632510715124,0.033199580453725445,0.033212075142267386,0.06641165559599282,0.033212075142267386,4.760617324849605,4.760617324849605,-0.3828631134238236,4.417575067960221,-0.039820856534439564,4.421949174585337,-0.044194963159555734
890,2026-05-15T15:17:48.577Z,2026-05-15 15:17:48.577000+00:00,5491.6795,91.52799166666667,69.643,6,65,test,7,3,4.403116226196289,1.1225610971450806,2.146693229675293,5.541194915771484,8.810449242591858,0.6289344349189367,0.37106556508106325,True,True,False,1.9123174989181484,0.2815599991225434,0.012741246969772515,0.024365309538333813,0.03710655650810633,0.024365309538333813,5.042031237942752,5.042031237942752,-0.6389150117464633,4.698988981053368,-0.2958727548570792,4.644523112449131,-0.24140688625284223
891,2026-05-15T15:18:57.867Z,2026-05-15 15:18:57.867000+00:00,5492.834333333333,91.54723888888888,69.29,6,65,test,7,4,4.644610404968262,3.470476627349853,7.575432300567627,6.023900032043457,17.069808959960938,0.3528979173799284,0.6471020826200715,True,True,False,2.1828218754933455,0.3390182974834942,0.020331080655268185,0.044379127606738976,0.06471020826200716,0.044379127606738976,5.099266123471891,5.099266123471891,-0.45465571850362885,4.7562238665825065,-0.11161346161424479,4.689790930643988,-0.04518052567572628
892,2026-05-15T15:20:07.139Z,2026-05-15 15:20:07.139000+00:00,5493.988866666667,91.56648111111112,69.272,6,65,test,7,5,4.903746604919434,1.3741346597671509,8.039245605,5.798343658447266,15.211723923214416,0.3811759724089186,0.6188240275910813,True,True,False,5.850405961204895,0.7671860029358603,0.009033392051443306,0.05284901070766484,0.06188240275910814,0.05284901070766484,5.527353000506624,5.527353000506624,-0.6236063955871902,5.18431074361724,-0.28056413869780616,5.028370430577585,-0.12462382565815133
893,2026-05-15T15:21:16.880Z,2026-05-15 15:21:16.880000+00:00,5495.151216666666,91.5858536111111,69.741,6,65,test,7,6,4.27023983,9.151499748,6.831424713134766,3.245405435562134,19.2283298966969,0.16878249192716624,0.8312175080728338,True,True,False,0.7464814403374407,-0.1269809856070556,0.04759383574738893,0.03552791505989446,0.08312175080728339,0.03552791505989446,4.633515399962855,4.633515399962855,-0.3632755699628545,4.290473143073471,-0.020233313073470427,4.32142260281364,-0.05118277281363959
