acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
1.0,7.0,5.0,13.0,7.0,0.8450980400142568,0.38461538461538464,0.6153846153846154,0.007692307692307693,0.05384615384615385,0.06153846153846154,0.05384615384615385,5.605257928024328,5.089986454838864
1.0,7.0,6.0,14.0,7.0,0.8450980400142568,0.42857142857142855,0.5714285714285714,0.0071428571428571435,0.05,0.05714285714285715,0.05,5.605270224037466,5.089996179916185
1.0,7.0,7.0,15.0,7.0,0.8450980400142568,0.4666666666666667,0.5333333333333333,0.006666666666666667,0.04666666666666667,0.05333333333333334,0.04666666666666667,5.60528251961396,5.09000590464816
1.0,7.0,8.0,16.0,7.0,0.8450980400142568,0.5,0.5,0.00625,0.043750000000000004,0.05,0.043750000000000004,5.6052948147535355,5.090015629034569
1.0,7.0,9.0,17.0,7.0,0.8450980400142568,0.5294117647058824,0.47058823529411764,0.0058823529411764705,0.0411764705882353,0.04705882352941177,0.0411764705882353,5.605307109456055,5.090025353075305
1.0,7.0,10.0,18.0,7.0,0.8450980400142568,0.5555555555555556,0.4444444444444444,0.005555555555555556,0.03888888888888889,0.044444444444444446,0.03888888888888889,5.605319403721452,5.090035076770316
1.0,8.0,1.0,10.0,8.0,0.9030899869919435,0.1,0.9,0.01,0.08,0.09,0.08,5.663195821499659,5.135810291196483
1.0,8.0,2.0,11.0,8.0,0.9030899869919435,0.18181818181818182,0.8181818181818182,0.009090909090909092,0.07272727272727274,0.08181818181818183,0.07272727272727274,5.663206391708418,5.13581865131259
1.0,8.0,3.0,12.0,8.0,0.9030899869919435,0.25,0.75,0.008333333333333333,0.06666666666666667,0.075,0.06666666666666667,5.663216961519303,5.135827011114012
1.0,8.0,4.0,13.0,8.0,0.9030899869919435,0.3076923076923077,0.6923076923076923,0.007692307692307693,0.06153846153846154,0.06923076923076923,0.06153846153846154,5.663227731272007,5.135835529052031
1.0,8.0,5.0,14.0,8.0,0.9030899869919435,0.35714285714285715,0.6428571428571429,0.0071428571428571435,0.05714285714285715,0.0642857142857143,0.05714285714285715,5.663238301202618,5.135843888948147
1.0,8.0,6.0,15.0,8.0,0.9030899869919435,0.4,0.6,0.006666666666666667,0.05333333333333334,0.060000000000000005,0.05333333333333334,5.6632488714227325,5.135852249073235
1.0,8.0,7.0,16.0,8.0,0.9030899869919435,0.4375,0.5625,0.00625,0.05,0.05625,0.05,5.663259441997578,5.135860609478884
