cycle,target_ph,is_test,steps,mean_ph,mean_abs_error,rmse,max_abs_error,reward_sum,squared_error_cost_sum,absolute_error_cost_sum,move_cost_sum,total_cost_sum,train_updates
48,4.813762664794922,False,400,4.812827204367511,0.0103135580442296,0.0132729936512365,0.0407149214801769,-4.225232819785659,0.0704689441863061,4.125423217691869,2.9340657907483987,4.225232819785659,400
49,4.791152000427246,False,400,4.787897294503848,0.0097717247842428,0.0120467632533334,0.0322341034921738,-3.982806666087255,0.0580498019527459,3.908689913697151,1.6066950437358685,3.982806666087255,400
50,4.61315393447876,False,400,4.591818154900709,0.0215224771037587,0.0235534191779483,0.0676727932490353,-8.845907866933263,0.2219054219888584,8.608990841503498,1.5011603440906676,8.845907866933263,400
51,4.504571914672852,False,400,4.523985743756388,0.0196168434080064,0.0215757465364034,0.0452695356256374,-8.041114594400034,0.1862051354412494,7.846737363202597,0.8172095756186764,8.041114594400034,400
52,5.036057949066162,False,400,5.022288486422781,0.0145231296435759,0.0171290661300168,0.0455034176508277,-5.960329096578419,0.1173619625945964,5.809251857430399,3.371527655342341,5.960329096578419,400
53,4.637197971343994,False,400,4.618832899954047,0.018721258531858,0.0217383277112206,0.0901518529495097,-7.71002297002322,0.1890219566721698,7.488503412743201,3.2497600607849435,7.71002297002322,400
54,4.972360134124756,False,400,4.98307881053915,0.0128935274389743,0.0161904821491025,0.0521808493189563,-5.287252291996603,0.1048526848881629,5.157410975589752,2.498863151868889,5.287252291996603,400
55,4.628512859344482,False,400,4.62554517031309,0.0087485288179295,0.0112209229752123,0.0713964510369518,-3.579671398517184,0.0503636449662592,3.499411527171812,2.98962263791136,3.579671398517184,400
56,4.716110229492188,False,400,4.709862833321199,0.0125590804623766,0.0156073265165932,0.0500024974071688,-5.151822781226698,0.0974354563982219,5.023632184950658,3.075513987781733,5.151822781226698,400
57,4.763134479522705,False,400,4.761028767873745,0.0107530716526252,0.0133037547461402,0.0418451290620947,-4.3959932584807335,0.0707959561381796,4.301228661050087,2.396864129246726,4.3959932584807335,400
58,4.660686016082764,False,400,4.65832015934072,0.0086021598531284,0.0107996427640033,0.0541942012618115,-3.501288462792248,0.0466529135320355,3.440863941251391,1.377160800882109,3.501288462792248,400
59,4.802387237548828,False,400,4.8044621424708405,0.0096641865159147,0.0124187855189592,0.0778589880030278,-3.9505172995370006,0.0616904935063649,3.865674606365882,2.315219966475329,3.9505172995370006,400
60,4.931131362915039,False,400,4.9340144317049015,0.0086744044576817,0.0110166246614182,0.0295960480857999,-3.530944172165633,0.0485464075722276,3.469761783072684,1.2635981520721238,3.530944172165633,400
61,4.892636299133301,False,400,4.895845939708913,0.008841920850035,0.0108201677098817,0.0314345496167618,-3.5954256440287704,0.0468304117079868,3.536768340014004,1.182689230677937,3.5954256440287704,400
62,4.853574275970459,False,400,4.857419135841811,0.0093809480431065,0.0115403225537966,0.0312993736557265,-3.8191497530854286,0.0532716178582674,3.752379217242609,1.3498917984551897,3.8191497530854286,400
63,4.487894058227539,False,400,4.523749472838031,0.0358554146104919,0.0370154237641539,0.0633966709191318,-14.910745409558803,0.5480566385759581,14.34216584419676,2.0522926786084845,14.910745409558803,400
64,4.709712505340576,False,400,4.710014985908232,0.0089545861221703,0.0112349821553097,0.0370094299352121,-3.650961749994525,0.050489929612051,3.581834448868128,1.8637371514345311,3.650961749994525,400
65,4.964087963104248,False,400,4.9666994117742105,0.0087289868002898,0.0110642019717393,0.0397677868939521,-3.554562059146263,0.0489666261085766,3.4915947201159527,1.4000712921733651,3.554562059146263,400
66,4.567883014678955,False,400,4.568984549377544,0.0080368130595942,0.0101315901157598,0.0315238727410998,-3.283100722465406,0.0410596473095052,3.214725223837685,2.731585131821589,3.283100722465406,400
67,4.60947322845459,False,400,4.6035910427022015,0.0094098746698308,0.0115244038931889,0.0348182090129309,-3.82355536767291,0.0531247540373396,3.763949867932333,0.6480745703237156,3.82355536767291,400
68,4.663717746734619,False,400,4.663591526922749,0.0086527366432405,0.0106971236875115,0.0325837305341849,-3.514169459002732,0.0457713820743682,3.461094657296205,0.7303419632158423,3.514169459002732,400
